train,stations
train_1,"['Heemstede-Aerdenhout', 'Leiden Centraal', 'Den Haag HS', 'Gouda', 'Utrecht Centraal', 'Ede-Wageningen', 'Arnhem Centraal', 'Ede-Wageningen', 'Arnhem Centraal', 'Ede-Wageningen', 'Arnhem Centraal', 'Ede-Wageningen', 'Utrecht Centraal', 's-Hertogenbosch', 'Eindhoven', 'Helmond', 'Eindhoven', 'Weert']"
train_2,"['Maastricht', 'Sittard', 'Roermond', 'Sittard', 'Maastricht', 'Sittard', 'Roermond', 'Weert', 'Eindhoven', 'Weert', 'Roermond', 'Sittard']"
train_3,"['Heemstede-Aerdenhout', 'Haarlem', 'Beverwijk', 'Castricum', 'Beverwijk', 'Castricum', 'Beverwijk', 'Castricum', 'Beverwijk', 'Haarlem', 'Amsterdam Sloterdijk', 'Zaandam', 'Hoorn']"
train_4,"['Sittard', 'Maastricht', 'Sittard', 'Heerlen', 'Sittard', 'Roermond', 'Sittard', 'Heerlen', 'Sittard', 'Heerlen', 'Sittard', 'Maastricht', 'Sittard']"
train_5,"['Dieren', 'Zutphen', 'Deventer', 'Almelo', 'Zwolle', 'Amersfoort', 'Zwolle', 'Deventer']"
train_6,"['Almere Centrum', 'Amsterdam Centraal', 'Utrecht Centraal', 's-Hertogenbosch', 'Utrecht Centraal', 'Amsterdam Centraal', 'Utrecht Centraal', 'Ede-Wageningen']"
train_7,"['Rotterdam Alexander', 'Rotterdam Blaak', 'Dordrecht', 'Roosendaal', 'Dordrecht', 'Breda', 'Dordrecht', 'Roosendaal', 'Dordrecht', 'Rotterdam Centraal']"
train_8,"['Hengelo', 'Enschede', 'Hengelo', 'Almelo', 'Zwolle', 'Steenwijk', 'Heerenveen', 'Steenwijk', 'Heerenveen', 'Leeuwarden', 'Groningen']"
train_9,"['Beverwijk', 'Zaandam', 'Hoorn', 'Zaandam', 'Castricum', 'Alkmaar', 'Castricum', 'Alkmaar', 'Hoorn', 'Alkmaar', 'Castricum']"
train_10,"['Rotterdam Centraal', 'Schiedam Centrum', 'Rotterdam Centraal', 'Schiedam Centrum', 'Rotterdam Centraal', 'Schiedam Centrum', 'Rotterdam Blaak', 'Dordrecht', 'Roosendaal', 'Vlissingen']"
train_11,"['Sittard', 'Roermond', 'Weert', 'Roermond', 'Sittard', 'Heerlen', 'Sittard', 'Heerlen', 'Sittard', 'Roermond', 'Sittard', 'Heerlen', 'Sittard']"
train_12,"['Arnhem Centraal', 'Nijmegen', 'Arnhem Centraal', 'Ede-Wageningen', 'Arnhem Centraal', 'Nijmegen', 'Oss', 's-Hertogenbosch', 'Tilburg', 'Breda', 'Dordrecht', 'Breda', 'Etten-Leur', 'Roosendaal', 'Etten-Leur']"
train_13,"['Den Haag Laan v NOI', 'Leiden Centraal', 'Alphen a/d Rijn', 'Utrecht Centraal', 'Alphen a/d Rijn', 'Gouda', 'Utrecht Centraal', 'Schiphol Airport', 'Leiden Centraal', 'Den Haag Laan v NOI']"
train_14,"['Den Haag Laan v NOI', 'Gouda', 'Utrecht Centraal', 'Gouda', 'Utrecht Centraal', 'Hilversum', 'Amsterdam Amstel', 'Hilversum']"
score,7924.0
